timestamp,battery,temp,signal,power_draw,packet_loss,packet_type,priority,size_kb,event
00:00:54,58.0,38.4,91,0.47,3.3,HOUSEKEEPING,HIGH,18.1,
00:00:55,57.9,38.5,96,0.5,0.8,HOUSEKEEPING,MEDIUM,15.2,
00:00:56,57.7,38.3,92,0.44,0.1,,,,
00:00:57,57.5,38.4,93,0.43,0.2,HOUSEKEEPING,HIGH,9.7,
00:00:58,57.5,38.8,93,0.42,0.7,M17,LOW,99.7,
00:00:59,57.7,39.0,98,1.61,0.0,,,,
00:01:00,57.3,39.0,93,1.62,1.0,HOUSEKEEPING,MEDIUM,14.7,
00:01:01,57.4,38.7,93,1.58,0.1,,,,
00:01:02,57.1,38.6,100,1.57,1.0,CODEC2,MEDIUM,63.0,
00:01:03,57.3,39.1,91,1.62,2.8,CODEC2,LOW,19.3,
00:01:04,56.9,39.8,95,1.59,1.3,,,,
00:01:05,56.9,39.4,92,0.47,2.3,,,,
00:01:06,57.0,39.1,96,0.49,3.4,HOUSEKEEPING,MEDIUM,14.4,
00:01:07,56.9,39.4,92,0.52,0.0,TTC,CRITICAL,8.7,
00:01:08,56.5,39.2,90,0.5,0.1,,,,
00:01:09,56.7,39.7,88,0.47,2.5,,,,
00:01:10,56.6,39.4,92,0.41,2.8,SSTV,HIGH,150.5,
00:01:11,56.3,40.0,89,0.45,0.0,M17,LOW,63.5,
00:01:12,56.5,39.2,91,0.39,3.4,,,,
00:01:13,56.0,39.5,88,0.45,1.5,,,,
00:01:14,56.2,40.2,89,1.28,0.0,M17,MEDIUM,66.7,
00:01:15,56.3,39.8,87,1.27,2.4,,,,
00:01:16,56.0,40.1,85,1.26,0.8,,,,
00:01:17,56.0,39.7,89,1.33,1.0,TTC,CRITICAL,5.9,
00:01:18,56.0,39.9,87,1.33,1.8,,,,
00:01:19,55.5,40.5,88,1.36,1.3,,,,
00:01:20,55.9,40.3,90,0.48,3.6,,,,
00:01:21,55.7,40.1,79,0.46,2.7,,,,
00:01:22,55.8,40.1,84,0.43,0.4,TTC,HIGH,7.4,
00:01:23,55.8,40.5,81,0.46,1.3,TTC,CRITICAL,7.6,
00:01:24,55.2,40.6,78,0.39,2.3,,,,
00:01:25,55.4,41.4,73,0.46,2.2,,,,
00:01:26,55.2,41.1,79,0.48,2.6,,,,
00:01:27,55.3,41.2,77,0.43,1.9,TTC,HIGH,8.0,
00:01:28,55.3,41.3,72,0.46,2.8,SSTV,MEDIUM,155.7,
00:01:29,55.0,41.0,73,0.45,1.2,,,,
00:01:30,55.1,41.5,72,0.49,3.3,,,,
00:01:31,54.8,41.4,67,0.36,3.4,,,,
00:01:32,54.2,41.6,67,0.43,2.5,,,,
00:01:33,54.3,42.0,62,0.46,5.4,HOUSEKEEPING,HIGH,12.7,
00:01:34,54.3,41.0,60,0.47,5.7,,,,
00:01:35,53.7,41.4,56,0.44,4.8,,,,
00:01:36,53.3,42.0,56,0.4,7.5,,,,
00:01:37,53.0,41.7,57,0.48,5.1,,,,
00:01:38,53.1,41.7,50,0.47,7.9,,,,
00:01:39,52.7,42.4,50,0.45,7.6,,,,
00:01:40,52.6,42.3,49,0.46,8.0,,,,
00:01:41,52.2,42.3,50,0.49,7.6,,,,
00:01:42,52.2,42.6,39,0.48,8.8,,,,
00:01:43,51.7,42.6,41,0.38,9.1,,,,
00:01:44,51.6,42.9,37,0.49,10.9,,,,
00:01:45,51.4,43.6,36,0.49,10.6,,,,
00:01:46,51.2,43.8,31,0.46,13.5,M17,HIGH,62.2,
00:01:47,50.5,43.3,28,0.44,12.7,,,,
00:01:48,50.7,44.0,30,0.49,14.7,,,,
00:01:49,50.3,44.1,24,0.45,14.7,,,,
00:01:50,49.9,43.9,19,0.8,16.7,,,,
00:01:51,49.6,44.9,1,0.43,0.0,CODEC2,LOW,75.2,
00:01:52,49.7,45.1,3,0.39,0.0,M17,LOW,33.9,
00:01:53,49.5,45.2,0,0.48,0.0,HOUSEKEEPING,HIGH,2.4,
00:01:54,49.2,45.4,3,0.49,0.0,,,,
00:01:55,48.9,45.5,1,0.39,0.0,,,,
00:01:56,48.3,46.2,1,0.43,0.0,,,,
00:01:57,48.1,46.5,2,0.49,0.0,,,,
00:01:58,48.0,46.4,3,0.45,0.0,,,,
00:01:59,47.5,46.9,0,0.44,0.0,,,,
00:02:00,47.5,46.8,1,0.46,0.0,,,,
00:02:01,47.0,47.8,0,0.43,0.0,HOUSEKEEPING,LOW,1.5,
00:02:02,47.1,47.7,3,0.42,0.0,,,,
00:02:03,47.1,47.4,3,0.42,0.0,HOUSEKEEPING,CRITICAL,5.0,
00:02:04,46.4,47.6,2,0.43,0.0,,,,
00:02:05,46.2,47.8,1,0.47,0.0,SSTV,MEDIUM,402.4,
00:02:06,46.2,48.4,3,0.44,0.0,,,,
00:02:07,45.9,49.0,2,0.44,0.0,HOUSEKEEPING,HIGH,12.7,
00:02:08,45.5,48.3,1,0.46,0.0,M17,LOW,65.7,
00:02:09,45.2,48.6,2,0.45,0.0,,,,
00:02:10,45.0,49.0,1,0.42,0.0,HOUSEKEEPING,HIGH,12.1,
00:02:11,44.7,49.1,2,0.45,0.0,,,,
00:02:12,44.5,49.9,1,0.44,0.0,,,,
00:02:13,44.2,49.7,1,0.44,0.0,TTC,HIGH,6.5,
00:02:14,43.8,50.4,1,0.43,0.0,,,,
00:02:15,43.9,50.0,2,0.49,0.0,,,,
00:02:16,43.6,49.8,1,0.43,0.0,,,,
00:02:17,43.3,50.4,1,0.47,0.0,,,,
00:02:18,43.1,51.5,0,0.41,0.0,,,,
00:02:19,42.5,50.6,2,0.4,0.0,HOUSEKEEPING,CRITICAL,19.6,
00:02:20,42.4,51.7,2,0.45,0.0,,,,
00:02:21,42.5,51.8,2,0.49,0.0,,,,
00:02:22,42.1,51.4,0,0.47,0.0,,,,
00:02:23,41.6,52.0,2,0.46,0.0,,,,
00:02:24,41.3,52.6,2,0.4,0.0,HOUSEKEEPING,MEDIUM,3.5,
00:02:25,41.2,53.1,3,0.38,0.0,,,,
00:02:26,41.0,52.4,3,0.46,0.0,,,,
00:02:27,40.9,52.9,1,0.49,0.0,,,,
00:02:28,40.5,54.0,3,0.47,0.0,,,,
00:02:29,40.1,53.5,0,0.42,0.0,,,,
00:02:30,40.1,53.8,2,0.46,0.0,,,,CORRUPTED_PACKET
00:02:31,39.5,54.2,2,0.41,0.0,SSTV,LOW,190.5,
00:02:32,39.8,54.1,0,0.44,0.0,,,,
00:02:33,39.4,55.1,0,0.41,0.0,TTC,HIGH,1.4,
00:02:34,38.9,54.6,2,0.46,0.0,,,,
00:02:35,39.1,55.5,2,0.48,0.0,HOUSEKEEPING,HIGH,15.8,
00:02:36,38.9,55.3,2,0.41,0.0,,,,
00:02:37,38.7,56.0,3,0.46,0.0,,,,
00:02:38,38.5,55.5,1,0.42,0.0,,,,
00:02:39,38.1,56.0,2,0.48,0.0,,,,
00:02:40,38.0,56.3,2,0.45,0.0,,,,
00:02:41,37.7,56.4,1,0.42,0.0,,,,
00:02:42,37.6,56.5,0,0.47,0.0,,,,
00:02:43,37.5,56.7,1,0.45,0.0,HOUSEKEEPING,MEDIUM,3.5,
00:02:44,37.2,56.8,2,0.47,0.0,,,,
00:02:45,37.1,57.4,3,0.42,0.0,,,,
00:02:46,36.6,58.3,3,0.42,0.0,CODEC2,MEDIUM,65.5,
00:02:47,36.7,57.5,0,0.42,0.0,TTC,HIGH,3.6,
00:02:48,36.2,58.4,2,0.41,0.0,HOUSEKEEPING,MEDIUM,11.3,
00:02:49,36.0,58.6,0,0.52,0.0,HOUSEKEEPING,MEDIUM,2.7,
00:02:50,36.0,58.9,2,0.41,0.0,,,,
00:02:51,35.7,58.8,2,0.47,0.0,,,,
00:02:52,35.7,58.9,3,0.48,0.0,SSTV,MEDIUM,230.2,
00:02:53,35.4,60.0,3,0.45,0.0,,,,
00:02:54,35.4,58.9,3,0.45,0.0,,,,
00:02:55,35.3,60.0,1,0.53,0.0,,,,
00:02:56,34.9,60.0,0,0.4,0.0,,,,
00:02:57,34.7,60.4,0,0.42,0.0,,,,
00:02:58,34.2,60.6,2,0.47,0.0,HOUSEKEEPING,MEDIUM,10.0,
00:02:59,34.2,61.0,1,0.42,0.0,,,,
00:03:00,34.0,60.9,1,0.45,0.0,,,,
00:03:01,33.6,61.0,2,0.41,0.0,HOUSEKEEPING,HIGH,15.2,
00:03:02,33.6,61.7,0,0.4,0.0,,,,
00:03:03,33.6,61.6,1,0.43,0.0,,,,
00:03:04,33.4,61.2,2,0.4,0.0,,,,
00:03:05,33.0,61.6,1,0.43,0.0,CODEC2,MEDIUM,67.5,
00:03:06,33.1,62.0,1,0.44,0.0,,,,
00:03:07,32.9,62.5,1,0.45,0.0,,,,
00:03:08,32.5,63.1,1,0.43,0.0,,,,
00:03:09,32.6,62.8,2,0.46,0.0,TTC,MEDIUM,7.9,
00:03:10,32.2,62.6,0,0.49,0.0,CODEC2,MEDIUM,70.6,
00:03:11,32.5,63.6,2,0.44,0.0,M17,HIGH,53.6,
00:03:12,32.3,63.3,2,0.43,0.0,TTC,CRITICAL,3.4,
00:03:13,32.2,63.8,2,0.42,0.0,M17,LOW,74.0,
00:03:14,31.8,63.6,1,0.42,0.0,M17,LOW,33.0,
00:03:15,31.6,63.8,3,0.42,0.0,TTC,CRITICAL,7.1,PACKET_BURST
00:03:16,31.9,64.3,2,0.46,0.0,,,,
00:03:17,31.1,64.6,2,0.48,0.0,HOUSEKEEPING,MEDIUM,15.4,
00:03:18,31.2,64.3,1,0.43,0.0,CODEC2,LOW,50.6,
00:03:19,31.4,64.6,2,0.48,0.0,HOUSEKEEPING,MEDIUM,16.9,
00:03:20,30.9,65.3,17,0.44,17.6,HOUSEKEEPING,HIGH,9.4,
00:03:21,30.8,65.2,23,0.38,15.4,HOUSEKEEPING,LOW,13.2,
00:03:22,30.7,65.3,27,0.48,15.3,TTC,HIGH,6.1,
00:03:23,30.5,65.2,22,0.49,14.5,CODEC2,MEDIUM,44.4,
00:03:24,30.4,65.5,35,0.44,11.2,HOUSEKEEPING,MEDIUM,10.9,
00:03:25,30.4,65.8,32,0.39,12.1,HOUSEKEEPING,LOW,7.4,
00:03:26,30.0,65.9,35,0.47,11.3,TTC,CRITICAL,1.1,
00:03:27,29.9,65.6,38,1.6,11.1,SSTV,MEDIUM,340.1,
00:03:28,29.7,65.7,42,1.62,8.3,M17,MEDIUM,36.4,
00:03:29,29.3,65.9,45,1.63,6.6,HOUSEKEEPING,MEDIUM,14.7,
00:03:30,29.4,65.5,46,1.6,10.0,M17,MEDIUM,35.6,
00:03:31,29.3,65.2,44,0.48,5.3,SSTV,LOW,442.4,
00:03:32,29.2,65.2,52,0.42,6.8,CODEC2,HIGH,60.6,
00:03:33,29.1,65.5,48,0.47,8.5,HOUSEKEEPING,CRITICAL,15.2,
00:03:34,28.6,65.4,49,0.49,7.7,TTC,HIGH,7.0,
00:03:35,28.4,64.8,50,0.42,7.6,HOUSEKEEPING,LOW,10.6,
00:03:36,28.2,64.7,59,0.42,7.1,,,,
00:03:37,28.1,64.9,57,0.47,6.0,,,,
00:03:38,28.2,65.3,61,0.46,5.7,,,,
00:03:39,27.9,64.3,59,0.46,3.9,,,,
00:03:40,27.7,64.5,62,0.77,4.4,,,,
00:03:41,27.7,64.7,63,0.81,5.4,,,,
00:03:42,27.5,64.6,66,0.85,3.5,SSTV,MEDIUM,378.9,
00:03:43,27.3,64.0,64,0.77,4.1,,,,
00:03:44,27.1,65.1,67,0.82,2.8,SSTV,LOW,428.6,
00:03:45,27.1,65.0,67,0.81,3.2,,,,COMM_FAILURE
00:03:46,26.8,64.7,73,0.44,0.9,TTC,MEDIUM,2.1,
00:03:47,26.7,64.4,76,0.45,2.9,,,,
00:03:48,26.1,64.0,72,0.44,1.9,,,,
00:03:49,25.8,63.9,77,0.41,0.6,,,,
00:03:50,26.4,63.8,77,0.48,4.2,,,,
00:03:51,25.8,64.3,76,0.48,1.0,,,,
00:03:52,25.5,64.5,76,0.46,2.6,,,,
00:03:53,25.4,63.5,81,0.55,1.4,M17,MEDIUM,82.4,
00:03:54,25.0,64.4,81,0.46,3.2,,,,
00:03:55,24.9,64.7,79,0.4,0.8,,,,
00:03:56,25.0,65.1,83,0.47,3.3,,,,
00:03:57,24.4,64.3,86,0.4,1.6,,,,
00:03:58,24.6,64.1,83,0.41,1.7,,,,
00:03:59,24.3,64.8,79,0.46,1.7,CODEC2,MEDIUM,31.5,
00:04:00,24.1,65.6,23,0.47,15.0,HOUSEKEEPING,MEDIUM,14.5,
00:04:01,23.9,64.8,10,0.5,19.3,TTC,HIGH,1.9,
00:04:02,23.3,65.6,19,0.47,18.9,,,,
00:04:03,23.6,65.1,14,1.67,20.4,,,,
00:04:04,23.5,65.6,11,1.61,21.0,,,,
00:04:05,23.0,65.4,22,0.48,18.1,,,,
00:04:06,22.8,65.4,11,0.44,19.1,,,,
00:04:07,22.5,66.0,22,0.45,14.3,HOUSEKEEPING,CRITICAL,3.5,
00:04:08,22.4,66.1,24,0.45,17.9,HOUSEKEEPING,HIGH,5.8,
00:04:09,22.3,65.9,11,0.43,22.3,,,,
00:04:10,22.0,66.2,11,0.37,21.5,,,,
00:04:11,21.9,66.4,21,0.46,15.4,,,,
00:04:12,21.7,67.0,17,0.44,16.1,CODEC2,MEDIUM,19.7,
00:04:13,21.3,66.4,18,0.44,18.2,,,,
00:04:14,21.3,66.8,11,0.48,20.5,HOUSEKEEPING,MEDIUM,12.4,
00:04:15,21.6,66.4,14,0.47,19.4,,,,
00:04:16,21.6,66.8,20,0.49,15.0,,,,
00:04:17,21.3,66.5,15,0.39,18.5,,,,
00:04:18,20.9,66.7,10,0.45,21.4,,,,
00:04:19,20.9,66.9,10,0.51,20.0,CODEC2,MEDIUM,47.6,
00:04:20,20.7,67.1,10,0.43,20.5,,,,
00:04:21,20.4,67.3,11,0.54,22.2,,,,
00:04:22,20.5,67.8,10,0.42,21.3,,,,
00:04:23,20.2,67.1,25,1.29,14.5,SSTV,MEDIUM,152.0,
00:04:24,20.4,66.9,13,0.84,20.8,,,,
00:04:25,20.1,67.9,11,0.78,21.0,,,,
00:04:26,20.2,67.6,95,0.83,0.0,,,,
00:04:27,19.9,67.9,92,0.8,1.1,,,,
00:04:28,19.9,67.7,88,0.77,2.4,,,,
00:04:29,19.8,68.3,93,0.46,0.4,TTC,CRITICAL,9.5,
00:04:30,19.4,68.3,96,0.47,1.7,,,,
00:04:31,19.5,68.8,87,0.36,0.3,,,,
00:04:32,19.5,69.0,91,0.49,0.2,,,,
00:04:33,19.5,68.5,91,0.45,0.5,,,,
00:04:34,19.2,69.0,86,0.46,0.4,,,,
00:04:35,19.3,68.7,92,0.42,0.0,HOUSEKEEPING,HIGH,18.9,
00:04:36,18.8,69.2,91,0.4,0.6,,,,
00:04:37,18.7,69.1,87,0.4,1.2,,,,
00:04:38,18.4,69.2,87,0.41,0.4,,,,
00:04:39,18.6,69.8,90,0.42,0.6,,,,
00:04:40,18.5,69.3,82,1.62,4.3,,,,
00:04:41,18.3,69.7,84,1.62,0.0,SSTV,MEDIUM,311.1,
00:04:42,18.0,69.1,85,0.44,2.3,M17,MEDIUM,75.1,
00:04:43,18.2,70.0,86,0.45,2.3,TTC,HIGH,6.5,
00:04:44,17.8,70.1,82,0.46,1.7,,,,
00:04:45,18.2,70.3,79,0.47,4.2,SSTV,MEDIUM,497.2,
00:04:46,17.8,70.1,78,0.39,2.8,SSTV,MEDIUM,396.8,
00:04:47,17.6,70.1,77,0.48,3.5,,,,
00:04:48,17.4,70.5,79,0.45,1.7,,,,
00:04:49,17.1,70.4,75,0.48,1.1,M17,LOW,66.2,
00:04:50,17.2,71.4,74,0.44,0.0,HOUSEKEEPING,HIGH,11.4,
00:04:51,17.3,70.4,74,0.4,3.6,,,,
00:04:52,16.7,71.5,75,0.44,3.9,,,,
00:04:53,17.0,71.3,68,0.43,1.0,HOUSEKEEPING,CRITICAL,8.8,
00:04:54,16.7,71.3,70,0.47,3.2,,,,
00:04:55,16.7,71.3,67,0.42,4.8,,,,
00:04:56,16.4,71.1,68,0.46,5.6,,,,
00:04:57,16.5,72.2,62,0.47,6.0,M17,LOW,33.2,
00:04:58,16.1,72.3,64,0.5,7.1,CODEC2,MEDIUM,51.6,
00:04:59,16.4,71.9,67,0.44,4.1,,,,
00:05:00,16.2,72.0,62,0.46,4.0,M17,MEDIUM,42.3,
00:05:01,16.2,71.6,62,0.45,5.7,SSTV,LOW,325.8,
00:05:02,15.7,71.8,63,0.46,3.0,,,,
00:05:03,15.5,71.9,58,0.43,5.8,,,,
00:05:04,15.6,71.5,54,0.44,5.3,,,,
00:05:05,15.4,71.6,56,0.4,6.4,,,,
00:05:06,15.3,71.6,49,0.46,7.5,SSTV,LOW,166.8,
00:05:07,15.3,71.4,52,0.43,7.3,,,,
00:05:08,14.8,71.1,49,0.42,6.6,CODEC2,MEDIUM,77.0,
00:05:09,15.1,70.7,43,0.44,9.0,,,,
00:05:10,15.2,71.3,43,0.49,9.5,,,,
00:05:11,14.7,70.3,45,0.51,7.3,,,,
00:05:12,14.8,70.9,37,0.49,11.6,CODEC2,MEDIUM,44.7,
00:05:13,14.6,71.1,43,0.46,10.7,,,,
00:05:14,14.6,70.7,34,0.44,11.1,,,,
00:05:15,14.9,70.4,32,0.48,11.5,HOUSEKEEPING,MEDIUM,10.4,
00:05:16,14.2,69.9,30,0.44,12.9,,,,
00:05:17,14.4,70.1,31,0.48,12.3,,,,
00:05:18,14.0,70.1,25,0.42,13.8,,,,
00:05:19,14.2,70.1,17,0.48,17.8,,,,
00:05:20,13.8,69.8,15,0.43,20.4,,,,
00:05:21,13.8,69.7,2,0.41,0.0,,,,
00:05:22,13.8,70.0,1,0.47,0.0,,,,
00:05:23,13.7,70.2,1,0.48,0.0,,,,
00:05:24,13.7,69.4,3,0.47,0.0,,,,
00:05:25,13.3,69.8,2,0.43,0.0,,,,
00:05:26,13.4,69.3,0,0.44,0.0,,,,
00:05:27,13.1,69.5,2,0.44,0.0,HOUSEKEEPING,LOW,11.0,
00:05:28,13.2,69.9,1,0.36,0.0,TTC,HIGH,2.6,
00:05:29,13.3,68.7,2,0.47,0.0,HOUSEKEEPING,MEDIUM,9.9,
00:05:30,13.0,68.7,3,0.44,0.0,,,,
00:05:31,13.1,69.0,0,0.4,0.0,CODEC2,LOW,58.6,
00:05:32,13.1,68.9,0,0.44,0.0,CODEC2,MEDIUM,17.3,
00:05:33,13.0,68.1,0,0.44,0.0,,,,
00:05:34,13.2,68.4,1,0.45,0.0,,,,
00:05:35,12.8,67.6,1,0.42,0.0,,,,
00:05:36,13.4,67.6,1,0.49,0.0,,,,
00:05:37,13.5,67.1,1,0.5,0.0,,,,
00:05:38,13.1,67.6,2,0.48,0.0,HOUSEKEEPING,HIGH,1.7,
00:05:39,13.1,66.4,1,0.47,0.0,,,,
00:05:40,13.3,66.9,2,0.52,0.0,,,,
00:05:41,13.6,65.8,2,0.47,0.0,,,,
00:05:42,13.6,65.9,3,0.4,0.0,,,,
00:05:43,13.5,65.3,1,0.41,0.0,,,,
00:05:44,13.8,65.8,3,0.42,0.0,,,,
00:05:45,13.7,65.1,3,0.43,0.0,,,,
00:05:46,13.6,64.8,2,0.48,0.0,M17,LOW,93.4,
00:05:47,13.6,64.2,2,0.43,0.0,,,,
00:05:48,13.6,64.3,1,0.44,0.0,,,,
00:05:49,13.9,63.9,3,0.44,0.0,M17,LOW,46.8,
00:05:50,13.8,64.3,1,0.37,0.0,HOUSEKEEPING,MEDIUM,2.2,
00:05:51,13.8,63.2,2,0.45,0.0,TTC,HIGH,4.2,
00:05:52,13.7,63.5,2,0.45,0.0,,,,
00:05:53,13.8,62.9,3,0.43,0.0,TTC,HIGH,7.3,
00:05:54,14.0,62.7,2,0.44,0.0,CODEC2,MEDIUM,39.0,
00:05:55,14.1,62.8,0,0.47,0.0,,,,
00:05:56,14.3,62.1,2,0.48,0.0,TTC,CRITICAL,2.2,
00:05:57,14.2,61.4,3,0.47,0.0,,,,
00:05:58,13.8,62.6,1,0.43,0.0,,,,
00:05:59,14.1,61.1,2,0.5,0.0,,,,
00:06:00,14.0,61.7,0,0.44,0.0,M17,HIGH,37.7,
00:06:01,14.2,61.0,3,0.4,0.0,,,,
00:06:02,14.2,60.8,0,0.49,0.0,,,,
00:06:03,14.2,60.5,1,0.44,0.0,HOUSEKEEPING,MEDIUM,3.8,
00:06:04,14.4,60.1,0,0.46,0.0,,,,
00:06:05,14.7,59.7,3,0.46,0.0,,,,
00:06:06,14.3,59.3,1,0.41,0.0,,,,
00:06:07,14.5,59.1,2,0.4,0.0,TTC,CRITICAL,2.6,
00:06:08,14.7,59.0,0,0.43,0.0,,,,
00:06:09,14.5,59.1,1,0.47,0.0,,,,
00:06:10,14.3,59.0,2,0.48,0.0,HOUSEKEEPING,MEDIUM,11.4,
00:06:11,15.0,58.6,0,0.48,0.0,SSTV,LOW,399.7,
00:06:12,14.9,58.3,2,0.43,0.0,,,,
00:06:13,14.7,57.7,1,0.5,0.0,CODEC2,MEDIUM,69.9,
00:06:14,14.9,58.0,2,0.44,0.0,,,,
00:06:15,14.9,57.4,3,0.46,0.0,,,,
00:06:16,14.7,57.1,1,0.38,0.0,CODEC2,MEDIUM,55.4,
00:06:17,15.1,56.6,2,0.4,0.0,,,,
00:06:18,14.8,56.4,2,0.41,0.0,,,,
00:06:19,15.0,55.7,3,0.45,0.0,SSTV,MEDIUM,177.6,
00:06:20,15.0,56.5,3,0.44,0.0,,,,
00:06:21,15.1,56.2,1,0.44,0.0,,,,
00:06:22,15.2,55.5,1,0.46,0.0,,,,
00:06:23,15.2,55.1,0,0.43,0.0,HOUSEKEEPING,HIGH,1.6,
00:06:24,15.3,55.2,2,0.39,0.0,,,,
00:06:25,15.3,55.1,1,0.52,0.0,TTC,CRITICAL,8.0,
00:06:26,15.6,54.6,1,0.45,0.0,,,,
00:06:27,15.1,54.3,1,0.46,0.0,CODEC2,LOW,15.6,
00:06:28,15.8,54.9,0,0.42,0.0,,,,
00:06:29,15.7,54.5,3,0.51,0.0,CODEC2,LOW,47.1,
00:06:30,15.8,54.0,2,0.46,0.0,SSTV,MEDIUM,273.3,
00:06:31,16.0,53.5,1,0.47,0.0,,,,
00:06:32,15.8,53.8,2,0.44,0.0,,,,
00:06:33,16.0,53.8,2,0.41,0.0,,,,
00:06:34,15.8,53.1,1,0.45,0.0,,,,
00:06:35,16.1,54.0,1,0.45,0.0,,,,
00:06:36,16.2,52.9,2,0.38,0.0,M17,MEDIUM,27.9,
00:06:37,16.2,53.0,2,0.41,0.0,,,,
00:06:38,16.2,53.2,1,0.44,0.0,,,,
00:06:39,16.2,52.6,1,0.52,0.0,,,,
00:06:40,16.6,52.5,24,0.5,16.2,,,,
00:06:41,16.5,52.5,22,0.46,16.7,M17,LOW,43.1,
00:06:42,16.4,51.5,28,0.52,11.3,TTC,MEDIUM,8.0,
00:06:43,16.8,51.8,36,0.53,12.4,,,,
00:06:44,16.8,52.0,35,0.46,9.6,,,,
00:06:45,17.0,51.1,43,0.44,9.7,,,,
00:06:46,16.8,51.6,46,0.85,5.4,HOUSEKEEPING,HIGH,18.8,
00:06:47,16.9,51.1,47,0.8,8.5,,,,
00:06:48,17.0,51.3,48,2.66,6.2,CODEC2,HIGH,74.5,
00:06:49,17.0,51.0,54,2.61,5.2,,,,
00:06:50,17.3,50.7,55,0.48,7.5,SSTV,MEDIUM,369.4,
00:06:51,17.0,51.0,60,0.48,2.9,,,,
00:06:52,17.3,50.3,61,0.43,5.8,,,,
00:06:53,17.3,49.5,65,0.42,3.0,HOUSEKEEPING,HIGH,7.2,
00:06:54,17.6,49.7,65,0.48,4.9,,,,
00:06:55,17.7,49.6,71,0.44,3.9,,,,
00:06:56,17.8,49.3,74,0.41,1.1,TTC,HIGH,9.7,
00:06:57,17.8,49.4,76,0.41,2.5,,,,
00:06:58,17.7,49.4,76,0.44,1.1,,,,
00:06:59,17.7,49.8,76,0.47,2.1,M17,MEDIUM,52.6,
00:07:00,17.8,48.9,80,0.47,2.6,,,,
00:07:01,18.3,48.9,84,0.47,1.8,,,,
00:07:02,18.2,48.8,90,0.44,0.4,,,,
